primary port: 38022
router: 1, pid: 3089, port: 44603
router: 2, pid: 3090, port: 52482
TCP from tunnel, (10.5.51.2, 46140, 152.19.134.142, 80, 6)
router: 0, rule hit (10.5.51.2, 46140, 152.19.134.142, 80, 6)
TCP from port : 52482,(152.19.134.142, 80, 10.5.51.2, 46140, 6)
router: 0, rule hit (152.19.134.142, 80, 10.5.51.2, 46140, 6)
TCP from tunnel, (10.5.51.2, 46140, 152.19.134.142, 80, 6)
router: 0, rule hit (10.5.51.2, 46140, 152.19.134.142, 80, 6)
TCP from port : 52482,(152.19.134.142, 80, 10.5.51.2, 46140, 6)
router: 0, rule hit (152.19.134.142, 80, 10.5.51.2, 46140, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from tunnel, (10.0.2.15, 50009, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50009, 128.52.129.126, 443, 6)
TCP from tunnel, (10.0.2.15, 50009, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50009, 128.52.129.126, 443, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from tunnel, (10.0.2.15, 50009, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50009, 128.52.129.126, 443, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from tunnel, (10.0.2.15, 50009, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50009, 128.52.129.126, 443, 6)
TCP from tunnel, (10.0.2.15, 50009, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50009, 128.52.129.126, 443, 6)
TCP from tunnel, (10.0.2.15, 50009, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50009, 128.52.129.126, 443, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from tunnel, (10.0.2.15, 50009, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50009, 128.52.129.126, 443, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from tunnel, (10.0.2.15, 50009, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50009, 128.52.129.126, 443, 6)
TCP from tunnel, (10.0.2.15, 50009, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50009, 128.52.129.126, 443, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule installed (10.0.2.15, 50010, 128.52.129.126, 443, 6) action 1
router: 0, rule installed (128.52.129.126, 443, 10.0.2.15, 50010, 6) action 1
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from tunnel, (10.0.2.15, 50010, 128.52.129.126, 443, 6)
router: 0, rule hit (10.0.2.15, 50010, 128.52.129.126, 443, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
TCP from port : 44603,(128.52.129.126, 443, 10.0.2.15, 50009, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50009, 6)
TCP from port : 52482,(128.52.129.126, 443, 10.0.2.15, 50010, 6)
router: 0, rule hit (128.52.129.126, 443, 10.0.2.15, 50010, 6)
router 0 closed
